"addon"
{
    "Language"        "schinese"
       "rune19"                                "% 增加技能伤害\n\nWII-SER-KIL = Wiser Kill"
       "rune20"                                "% 技能伤害暴击 300%伤害\n\nWII-NAH-KIL = Winner Kill"
       "rune21"                                "增加Ancient Dragon天赋:火焰新星的等级\n\nFAH-SER-TIC = Phaser Tick"
       "rune22"                                "% 降低4技能的冷却时间\n\nFAH-NAH-TIM = Funny Time"
       "rune23"                                "% 降低6技能的冷却时间\n\nWII-NAH-TIM = Winner Time"
       "rune24"                                "% 增加3技能的伤害\n\nFAH-NAH-KIL = Funny Kill"
       "rune25"                                "% 增加4技能的伤害\n\nLOO-TAL-KIL = Lotta Kills"
       "rune26"                                "% 增加5技能的伤害\n\nLOO-SER-TIC = Looser Ticks"
       "rune27"                                "% 增加2技能的伤害\n\nLOO-SER-KIL = Looser Kill"

	}
}

